Expected_Profit_Dollars,Expected_Profitability_Ratio,Expected_Loss_Dollars,Expense_Load_Dollars,Expected_Profit_Dollars_With_Bind,Submission ID,Broker Name,Channel,Broker Tier,Historical Bind Rate,Industry,Client Revenue ($M),Locations,State,Building Value ($),Contents Value ($),BI Value ($),Submission Complete,CAT Zone,Bind Propensity Score,Total Insured Value ($),Expected Value,Days to Quote,Prior Claims,Bind_Flag,_Derived_Premium,_Assumed_Loss_Ratio,Expected_Premium_Used,Assumed_Expense_Ratio,Assumed_Bind_Probability,,
23618.1,0.13,94472.38,39363.49,19366.84,SUB001,Alpha Risk,Portal,Platinum,0.78,Warehousing,85,3,TX,25000000,5000000,2000000,Yes,No,0.82,32000000,26240000,7,Yes,1,157453.969,0.6,157453.97,0.21,0.82,0.94,0
24649.4,0.17,98597.59,41082.33,16515.1,SUB0011,Beta Cover,Email,Gold,0.65,Logistics,87,2,IL,18796089,2988575,1167639,Yes,No,0.67,22952303,15378043,4,Yes,1,164329.3119,0.6,164329.31,0.24,0.67,1.01,0
50471.11,0.2,201884.45,84118.52,45424,SUB0012,Alpha Risk,Portal,Platinum,0.78,Warehousing,79,3,TX,24958478,5098515,2245417,Yes,No,0.9,32302410,29072169,8,Yes,1,336474.0789,0.6,336474.08,0.26,0.9,1.06,0
3531.19,0.08,14124.77,5885.32,1235.92,SUB0013,Delta Insure,API,Bronze,0.35,Hospitality,27,1,LA,3167116,533437,200000,No,Yes,0.35,3900553,1365193,8,Yes,0,23541.27669,0.6,23541.28,0.25,0.35,0.93,0
3278.96,0.14,13115.82,5464.93,852.53,SUB0014,Delta Insure,API,Bronze,0.35,Hospitality,16,1,LA,2254073,1753439,899180,No,Yes,0.26,4906692,1275739,3,No,0,21859.70291,0.6,21859.7,0.24,0.26,0.98,0
49332.37,0.16,197329.47,82220.61,34532.66,SUB0015,Beta Cover,Email,Gold,0.65,Manufacturing,131,2,FL,22135970,4896304,3048834,Yes,Yes,0.7,30081108,21056775,6,No,1,328882.4429,0.6,328882.44,0.3,0.7,1.06,0
27018.47,0.17,108073.87,45030.78,23235.88,SUB0016,Alpha Risk,Portal,Platinum,0.78,Warehousing,87,3,TX,24597632,4184322,2444792,Yes,No,0.86,31226746,26855001,5,Yes,1,180123.1145,0.6,180123.11,0.2,0.86,0.97,0
4734.94,0.19,18939.78,7891.57,1041.69,SUB0017,Delta Insure,API,Bronze,0.35,Hospitality,46,1,LA,3092890,500000,767146,No,Yes,0.22,4360036,959207,2,Yes,0,31566.29258,0.6,31566.29,0.23,0.22,1.02,0
12332.61,0.2,49330.44,20554.35,5303.02,SUB0018,FastBind,Email,Silver,0.5,Office Space,56,3,CO,10935523,776718,880848,No,No,0.43,12593089,5415028,8,Yes,0,82217.40394,0.6,82217.4,0.3,0.43,1.1,0
49700.09,0.09,198800.38,82833.49,38269.07,SUB0019,Alpha Risk,Portal,Platinum,0.78,Real Estate,269,8,NY,57237267,9447960,5136213,Yes,No,0.77,71821440,55302508,6,Yes,1,331333.9641,0.6,331333.96,0.22,0.77,0.91,0
