Submission ID,Broker Name,Channel,Broker Tier,Historical Bind Rate,Industry,Client Revenue ($M),Locations,State,Building Value ($),Contents Value ($),BI Value ($),Submission Complete,CAT Zone,Bind Propensity Score,Total Insured Value ($),Expected Value,Days to Quote,Prior Claims,Bind_Flag,submission_date
SUB001,Alpha Risk,Portal,Platinum,0.78,Warehousing,85,3,TX,25000000,5000000,2000000,Yes,No,0.82," 3,20,00,000.00 "," 2,62,40,000.00 ",7,Yes,1,2024-10-07
SUB002,Beta Cover,Email,Gold,0.65,Manufacturing,120,2,FL,18000000,4000000,3000000,Yes,Yes,0.68," 2,50,00,000.00 "," 1,70,00,000.00 ",4,No,1,2024-11-20
SUB003,SecureEdge,Wholesaler,Silver,0.4,Retail,40,5,CA,12000000,3000000,1500000,No,No,0.45," 1,65,00,000.00 "," 74,25,000.00 ",8,No,0,2024-12-15
SUB004,Alpha Risk,Portal,Platinum,0.78,Real Estate,250,8,NY,60000000,10000000,5000000,Yes,No,0.86," 7,50,00,000.00 "," 6,45,00,000.00 ",5,Yes,1,2025-01-11
SUB005,Delta Insure,API,Bronze,0.35,Hospitality,30,1,LA,6000000,1000000,500000,No,Yes,0.31," 75,00,000.00 "," 23,25,000.00 ",7,No,0,2025-02-08
SUB006,Beta Cover,Email,Gold,0.65,Logistics,70,2,IL,15000000,2000000,1000000,Yes,No,0.7," 1,80,00,000.00 "," 1,26,00,000.00 ",10,No,1,2025-03-21
SUB007,CoreTrust,Portal,Gold,0.66,Education,95,4,NJ,20000000,3500000,2000000,Yes,No,0.74," 2,55,00,000.00 "," 1,88,70,000.00 ",3,Yes,1,2025-04-07
SUB008,FastBind,Email,Silver,0.5,Office Space,55,3,CO,10000000,1500000,1000000,No,No,0.52," 1,25,00,000.00 "," 65,00,000.00 ",7,No,0,2025-05-26
SUB009,Alpha Risk,Portal,Platinum,0.78,Manufacturing,180,5,OH,40000000,7000000,3000000,Yes,No,0.84," 5,00,00,000.00 "," 4,20,00,000.00 ",8,No,1,2025-06-19
SUB010,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,20,10,FL,9000000,2000000,1000000,No,Yes,0.38," 1,20,00,000.00 "," 45,60,000.00 ",5,No,0,2025-07-23
SUB0011,Beta Cover,Email,Gold,0.65,Logistics,87,2,IL,18796089,2988575,1167639,Yes,No,0.67," 2,29,52,303.00 "," 1,53,78,043.00 ",4,Yes,1,2025-08-11
SUB0012,Alpha Risk,Portal,Platinum,0.78,Warehousing,79,3,TX,24958478,5098515,2245417,Yes,No,0.9," 3,23,02,410.00 "," 2,90,72,169.00 ",8,Yes,1,2025-09-11
SUB0013,Delta Insure,API,Bronze,0.35,Hospitality,27,1,LA,3167116,533437,200000,No,Yes,0.35," 39,00,553.00 "," 13,65,193.00 ",8,Yes,0,2024-10-24
SUB0014,Delta Insure,API,Bronze,0.35,Hospitality,16,1,LA,2254073,1753439,899180,No,Yes,0.26," 49,06,692.00 "," 12,75,739.00 ",3,No,0,2024-11-21
